cut_region,region,cut_provincia,provincia,cut_comuna,comuna,año,población
1,Tarapacá,11,Iquique,1101,Iquique,2002,173611
1,Tarapacá,11,Iquique,1101,Iquique,2003,169002
1,Tarapacá,11,Iquique,1101,Iquique,2004,167413
1,Tarapacá,11,Iquique,1101,Iquique,2005,167784
1,Tarapacá,11,Iquique,1101,Iquique,2006,169377
1,Tarapacá,11,Iquique,1101,Iquique,2007,171709
1,Tarapacá,11,Iquique,1101,Iquique,2008,174518
1,Tarapacá,11,Iquique,1101,Iquique,2009,177526
1,Tarapacá,11,Iquique,1101,Iquique,2010,180556
1,Tarapacá,11,Iquique,1101,Iquique,2011,183931
1,Tarapacá,11,Iquique,1101,Iquique,2012,187366
1,Tarapacá,11,Iquique,1101,Iquique,2013,190437
1,Tarapacá,11,Iquique,1101,Iquique,2014,193643
1,Tarapacá,11,Iquique,1101,Iquique,2015,196728
1,Tarapacá,11,Iquique,1101,Iquique,2016,199592
1,Tarapacá,11,Iquique,1101,Iquique,2017,202891
1,Tarapacá,11,Iquique,1101,Iquique,2018,209409
1,Tarapacá,11,Iquique,1101,Iquique,2019,216514
1,Tarapacá,11,Iquique,1101,Iquique,2020,223463
1,Tarapacá,11,Iquique,1101,Iquique,2021,227127
1,Tarapacá,11,Iquique,1101,Iquique,2022,229072
1,Tarapacá,11,Iquique,1101,Iquique,2023,230595
1,Tarapacá,11,Iquique,1101,Iquique,2024,231962
1,Tarapacá,11,Iquique,1101,Iquique,2025,233228
1,Tarapacá,11,Iquique,1101,Iquique,2026,234407
1,Tarapacá,11,Iquique,1101,Iquique,2027,235492
1,Tarapacá,11,Iquique,1101,Iquique,2028,236481
1,Tarapacá,11,Iquique,1101,Iquique,2029,237379
1,Tarapacá,11,Iquique,1101,Iquique,2030,238173
1,Tarapacá,11,Iquique,1101,Iquique,2031,238902
1,Tarapacá,11,Iquique,1101,Iquique,2032,239540
1,Tarapacá,11,Iquique,1101,Iquique,2033,240089
1,Tarapacá,11,Iquique,1101,Iquique,2034,240544
1,Tarapacá,11,Iquique,1101,Iquique,2035,240905
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2002,53625
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2003,63806
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2004,71062
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2005,76126
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2006,79924
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2007,83105
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2008,86042
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2009,88877
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2010,91654
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2011,94617
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2012,97654
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2013,100566
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2014,103622
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2015,106694
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2016,109732
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2017,113098
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2018,118379
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2019,124150
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2020,129999
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2021,134085
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2022,137263
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2023,140282
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2024,143294
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2025,146337
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2026,149416
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2027,152532
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2028,155681
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2029,158866
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2030,162080
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2031,165348
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2032,168655
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2033,171998
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2034,175377
1,Tarapacá,11,Iquique,1107,Alto Hospicio,2035,178792
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2002,9833
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2003,9837
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2004,9999
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2005,10271
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2006,10612
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2007,10998
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2008,11412
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2009,11839
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2010,12267
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2011,12717
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2012,13170
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2013,13595
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2014,14028
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2015,14451
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2016,14853
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2017,15286
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2018,15960
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2019,16683
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2020,17395
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2021,17853
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2022,18172
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2023,18452
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2024,18713
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2025,18962
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2026,19198
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2027,19422
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2028,19632
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2029,19831
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2030,20016
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2031,20193
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2032,20356
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2033,20510
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2034,20651
1,Tarapacá,14,Tamarugal,1401,Pozo Almonte,2035,20782
1,Tarapacá,14,Tamarugal,1402,Camiña,2002,1325
1,Tarapacá,14,Tamarugal,1402,Camiña,2003,1271
1,Tarapacá,14,Tamarugal,1402,Camiña,2004,1242
1,Tarapacá,14,Tamarugal,1402,Camiña,2005,1226
1,Tarapacá,14,Tamarugal,1402,Camiña,2006,1222
1,Tarapacá,14,Tamarugal,1402,Camiña,2007,1222
1,Tarapacá,14,Tamarugal,1402,Camiña,2008,1226
1,Tarapacá,14,Tamarugal,1402,Camiña,2009,1232
1,Tarapacá,14,Tamarugal,1402,Camiña,2010,1237
1,Tarapacá,14,Tamarugal,1402,Camiña,2011,1246
1,Tarapacá,14,Tamarugal,1402,Camiña,2012,1254
1,Tarapacá,14,Tamarugal,1402,Camiña,2013,1260
1,Tarapacá,14,Tamarugal,1402,Camiña,2014,1267
1,Tarapacá,14,Tamarugal,1402,Camiña,2015,1273
1,Tarapacá,14,Tamarugal,1402,Camiña,2016,1278
1,Tarapacá,14,Tamarugal,1402,Camiña,2017,1286
1,Tarapacá,14,Tamarugal,1402,Camiña,2018,1314
1,Tarapacá,14,Tamarugal,1402,Camiña,2019,1345
1,Tarapacá,14,Tamarugal,1402,Camiña,2020,1375
1,Tarapacá,14,Tamarugal,1402,Camiña,2021,1384
1,Tarapacá,14,Tamarugal,1402,Camiña,2022,1383
1,Tarapacá,14,Tamarugal,1402,Camiña,2023,1379
1,Tarapacá,14,Tamarugal,1402,Camiña,2024,1374
1,Tarapacá,14,Tamarugal,1402,Camiña,2025,1371
1,Tarapacá,14,Tamarugal,1402,Camiña,2026,1365
1,Tarapacá,14,Tamarugal,1402,Camiña,2027,1360
1,Tarapacá,14,Tamarugal,1402,Camiña,2028,1355
1,Tarapacá,14,Tamarugal,1402,Camiña,2029,1349
1,Tarapacá,14,Tamarugal,1402,Camiña,2030,1344
1,Tarapacá,14,Tamarugal,1402,Camiña,2031,1337
1,Tarapacá,14,Tamarugal,1402,Camiña,2032,1331
1,Tarapacá,14,Tamarugal,1402,Camiña,2033,1324
1,Tarapacá,14,Tamarugal,1402,Camiña,2034,1318
1,Tarapacá,14,Tamarugal,1402,Camiña,2035,1311
1,Tarapacá,14,Tamarugal,1403,Colchane,2002,1636
1,Tarapacá,14,Tamarugal,1403,Colchane,2003,1564
1,Tarapacá,14,Tamarugal,1403,Colchane,2004,1522
1,Tarapacá,14,Tamarugal,1403,Colchane,2005,1499
1,Tarapacá,14,Tamarugal,1403,Colchane,2006,1488
1,Tarapacá,14,Tamarugal,1403,Colchane,2007,1484
1,Tarapacá,14,Tamarugal,1403,Colchane,2008,1483
1,Tarapacá,14,Tamarugal,1403,Colchane,2009,1484
1,Tarapacá,14,Tamarugal,1403,Colchane,2010,1486
1,Tarapacá,14,Tamarugal,1403,Colchane,2011,1489
1,Tarapacá,14,Tamarugal,1403,Colchane,2012,1494
1,Tarapacá,14,Tamarugal,1403,Colchane,2013,1495
1,Tarapacá,14,Tamarugal,1403,Colchane,2014,1497
1,Tarapacá,14,Tamarugal,1403,Colchane,2015,1499
1,Tarapacá,14,Tamarugal,1403,Colchane,2016,1498
1,Tarapacá,14,Tamarugal,1403,Colchane,2017,1500
