nombre,inicio,termino,cargo,cargo_2,mes_inicio,mes_termino,dia_inicio,dia_termino,año_inicio,año_termino,fecha_inicio,fecha_termino
Salvador Allende Gossens,3 de noviembre de 1970,† 11 de septiembre de 1973,Presidente de la República,Elegido,11,9,3,11,1970,1973,1970-11-03,1973-09-11
Augusto Pinochet Ugarte,11 de septiembre de 1973,17 de junio de 1974,Presidente de la Junta de Gobierno,Golpe de Estado,9,6,11,17,1973,1974,1973-09-11,1974-06-17
Augusto Pinochet Ugarte,17 de junio de 1974,17 de diciembre de 1974,Jefe Supremo de la Nación[n 33]​,Jefe Supremo de la Nación[n 33]​,6,12,17,17,1974,1974,1974-06-17,1974-12-17
Augusto Pinochet Ugarte,17 de diciembre de 1974,11 de marzo de 1981,Presidente de la República[n 34]​,Presidente de la República[n 34]​,12,3,17,11,1974,1981,1974-12-17,1981-03-11
Augusto Pinochet Ugarte,11 de marzo de 1981,11 de marzo de 1989,Presidente de la República[n 35]​,Plebiscito,3,3,11,11,1981,1989,1981-03-11,1989-03-11
Augusto Pinochet Ugarte,11 de marzo de 1989,11 de marzo de 1990,Presidente de la República[n 36]​,Plebiscito,3,3,11,11,1989,1990,1989-03-11,1990-03-11
Patricio Aylwin Azócar,11 de marzo de 1990,11 de marzo de 1994,Presidente de la República,Elegido,3,3,11,11,1990,1994,1990-03-11,1994-03-11
Eduardo Frei Ruiz-Tagle,11 de marzo de 1994,11 de marzo de 2000,Presidente de la República,Elegido,3,3,11,11,1994,2000,1994-03-11,2000-03-11
Ricardo Lagos Escobar,11 de marzo de 2000,11 de marzo de 2006,Presidente de la República,Elegido,3,3,11,11,2000,2006,2000-03-11,2006-03-11
Michelle Bachelet Jeria,11 de marzo de 2006,11 de marzo de 2010,Presidenta de la República,Elegida,3,3,11,11,2006,2010,2006-03-11,2010-03-11
Sebastián Piñera Echenique,11 de marzo de 2010,11 de marzo de 2014,Presidente de la República,Elegido,3,3,11,11,2010,2014,2010-03-11,2014-03-11
Michelle Bachelet Jeria,11 de marzo de 2014,11 de marzo de 2018,Presidenta de la República,Elegida,3,3,11,11,2014,2018,2014-03-11,2018-03-11
Sebastián Piñera Echenique,11 de marzo de 2018,11 de marzo de 2022,Presidente de la República,Elegido,3,3,11,11,2018,2022,2018-03-11,2022-03-11
Gabriel Boric Font,11 de marzo de 2022,En el cargo,Presidente de la República,Elegido,3,NA,11,NA,2022,NA,2022-03-11,NA
